EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,RAD_AU_AU,HGI_LAT_deg,HGI_LON_deg
 2019-08-01T00:00:00.000Z,1.01,5.7,232.2
 2019-08-02T00:00:00.000Z,1.01,5.8,233.2
 2019-08-03T00:00:00.000Z,1.01,5.9,234.1
 2019-08-04T00:00:00.000Z,1.01,6,235
 2019-08-05T00:00:00.000Z,1.01,6,236
 2019-08-06T00:00:00.000Z,1.01,6.1,236.9
 2019-08-07T00:00:00.000Z,1.01,6.2,237.9
 2019-08-08T00:00:00.000Z,1.01,6.2,238.8
 2019-08-09T00:00:00.000Z,1.01,6.3,239.8
 2019-08-10T00:00:00.000Z,1.01,6.3,240.8
 2019-08-11T00:00:00.000Z,1.02,6.4,241.7
 2019-08-12T00:00:00.000Z,1.02,6.4,242.7
 2019-08-13T00:00:00.000Z,1.02,6.5,243.7
 2019-08-14T00:00:00.000Z,1.02,6.6,244.7
 2019-08-15T00:00:00.000Z,1.02,6.6,245.7
 2019-08-16T00:00:00.000Z,1.02,6.6,246.7
 2019-08-17T00:00:00.000Z,1.01,6.7,247.7
 2019-08-18T00:00:00.000Z,1.01,6.7,248.7
 2019-08-19T00:00:00.000Z,1.01,6.8,249.7
 2019-08-20T00:00:00.000Z,1.01,6.8,250.7
 2019-08-21T00:00:00.000Z,1.01,6.9,251.6
 2019-08-22T00:00:00.000Z,1.01,6.9,252.6
 2019-08-23T00:00:00.000Z,1.01,6.9,253.6
 2019-08-24T00:00:00.000Z,1.01,7,254.6
 2019-08-25T00:00:00.000Z,1.01,7,255.5
 2019-08-26T00:00:00.000Z,1.01,7,256.5
 2019-08-27T00:00:00.000Z,1.01,7.1,257.4
 2019-08-28T00:00:00.000Z,1.01,7.1,258.4
 2019-08-29T00:00:00.000Z,1.01,7.1,259.3
 2019-08-30T00:00:00.000Z,1.01,7.1,260.3
 2019-08-31T00:00:00.000Z,1.01,7.2,261.2
 2019-09-01T00:00:00.000Z,1.01,7.2,262.1
 2019-09-02T00:00:00.000Z,1.01,7.2,263.1
 2019-09-03T00:00:00.000Z,1.01,7.2,264
 2019-09-04T00:00:00.000Z,1.01,7.2,265
 2019-09-05T00:00:00.000Z,1.01,7.2,266
 2019-09-06T00:00:00.000Z,1.01,7.2,266.9
 2019-09-07T00:00:00.000Z,1.01,7.2,267.9
 2019-09-08T00:00:00.000Z,1.01,7.2,268.9
 2019-09-09T00:00:00.000Z,1.01,7.2,269.9
 2019-09-10T00:00:00.000Z,1.01,7.2,270.9
 2019-09-11T00:00:00.000Z,1.01,7.2,271.9
 2019-09-12T00:00:00.000Z,1.01,7.2,272.9
 2019-09-13T00:00:00.000Z,1.01,7.2,273.9
 2019-09-14T00:00:00.000Z,1.01,7.2,274.9
 2019-09-15T00:00:00.000Z,1.01,7.2,275.9
 2019-09-16T00:00:00.000Z,1.01,7.2,276.9
 2019-09-17T00:00:00.000Z,1.01,7.2,277.9
 2019-09-18T00:00:00.000Z,1.01,7.1,278.9
 2019-09-19T00:00:00.000Z,1.01,7.1,279.9
 2019-09-20T00:00:00.000Z,1.01,7.1,280.9
 2019-09-21T00:00:00.000Z,1,7.1,281.9
 2019-09-22T00:00:00.000Z,1,7.1,282.9
 2019-09-23T00:00:00.000Z,1,7,283.9
 2019-09-24T00:00:00.000Z,1,7,284.9
 2019-09-25T00:00:00.000Z,1,7,285.8
 2019-09-26T00:00:00.000Z,1,6.9,286.8
 2019-09-27T00:00:00.000Z,1,6.9,287.8
 2019-09-28T00:00:00.000Z,1,6.9,288.7
 2019-09-29T00:00:00.000Z,1,6.8,289.7
 2019-09-30T00:00:00.000Z,1,6.8,290.6
 2019-10-01T00:00:00.000Z,1,6.7,291.6
